127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000544
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/js/jquery.js, HTTP/1.1, 304, 0.000559
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/css/calendar.css, HTTP/1.1, 304, 0.000603
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/js/calendar.js, HTTP/1.1, 304, 0.000671
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/js/web2py.js, HTTP/1.1, 304, 0.000901
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000712
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001183
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/js/share.js, HTTP/1.1, 304, 0.000718
127.0.0.1, 2015-09-03 13:53:27, GET, /jupe_app/static/images/background.jpg, HTTP/1.1, 304, 0.000351
127.0.0.1, 2015-09-03 13:53:27, GET, /jupe_app/static/images/twitter.png, HTTP/1.1, 304, 0.000612
127.0.0.1, 2015-09-03 13:53:27, GET, /jupe_app/static/images/facebook.png, HTTP/1.1, 304, 0.000515
127.0.0.1, 2015-09-03 13:53:27, GET, /jupe_app/static/images/gplus-32.png, HTTP/1.1, 304, 0.000465
127.0.0.1, 2015-09-03 13:53:33, GET, /jupe_app/legacy/happyqueen, HTTP/1.1, 404, 0.038919
127.0.0.1, 2015-09-03 13:53:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2015-09-03 13:53:40, GET, /jupe_app/legacy/happyqueen, HTTP/1.1, 404, 0.015690
127.0.0.1, 2015-09-03 13:53:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000355
127.0.0.1, 2015-09-03 13:53:42, GET, /jupe_app/legacy/happyqueen/, HTTP/1.1, 404, 0.010531
127.0.0.1, 2015-09-03 13:53:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2015-09-03 13:53:46, GET, /jupe_app/legacy/happyqueen.html, HTTP/1.1, 404, 0.011164
127.0.0.1, 2015-09-03 13:53:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000385
127.0.0.1, 2015-09-03 13:53:49, GET, /jupe_app/legacy/, HTTP/1.1, 404, 0.014053
127.0.0.1, 2015-09-03 13:53:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000409
127.0.0.1, 2015-09-03 13:53:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2015-09-03 13:53:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2015-09-03 13:53:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2015-09-03 13:54:00, GET, /jupe_app/legacy/happyqueen, HTTP/1.1, 404, 0.055347
127.0.0.1, 2015-09-03 13:54:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2015-09-03 13:54:00, GET, /jupe_app/default/index, HTTP/1.1, 200, 0.060332
127.0.0.1, 2015-09-03 13:54:02, GET, /admin/default/site, HTTP/1.1, 200, 0.067441
127.0.0.1, 2015-09-03 13:54:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2015-09-03 13:54:06, GET, /admin/default/remove_compiled_app/jupe_app, HTTP/1.1, 303, 0.045069
127.0.0.1, 2015-09-03 13:54:06, GET, /admin/default/site, HTTP/1.1, 200, 0.066376
127.0.0.1, 2015-09-03 13:54:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
127.0.0.1, 2015-09-03 13:54:09, GET, /admin/default/compile_app/jupe_app, HTTP/1.1, 303, 0.439320
127.0.0.1, 2015-09-03 13:54:09, GET, /admin/default/site, HTTP/1.1, 200, 0.055780
127.0.0.1, 2015-09-03 13:54:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2015-09-03 13:54:18, GET, /admin/default/compile_app/jupe_app, HTTP/1.1, 303, 0.334603
127.0.0.1, 2015-09-03 13:54:19, GET, /admin/default/site, HTTP/1.1, 200, 0.059406
127.0.0.1, 2015-09-03 13:54:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2015-09-03 13:54:46, GET, /admin/default/compile_app/jupe_app, HTTP/1.1, 303, 0.320886
127.0.0.1, 2015-09-03 13:54:46, GET, /admin/default/site, HTTP/1.1, 200, 0.097445
127.0.0.1, 2015-09-03 13:54:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000378
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/happyqueen, HTTP/1.1, 200, 0.016676
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/watch.js, HTTP/1.1, 400, 0.000505
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/openapi.js, HTTP/1.1, 400, 0.000346
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/jquery-1.8.3.js, HTTP/1.1, 400, 0.001010
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/jquery.colorbox-min.js, HTTP/1.1, 400, 0.000415
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/colorbox.css, HTTP/1.1, 400, 0.000355
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/jquery.countdown.js, HTTP/1.1, 400, 0.000343
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/openapi(1).js, HTTP/1.1, 400, 0.000403
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/share.js, HTTP/1.1, 400, 0.000415
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/static/cMXAbqgtL_o.jpg, HTTP/1.1, 200, 0.000830
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/oldbagde4.png, HTTP/1.1, 400, 0.000394
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/button3.png, HTTP/1.1, 400, 0.000395
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/stripes.gif, HTTP/1.1, 400, 0.000410
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/label-top-1.jpg, HTTP/1.1, 400, 0.000379
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/divider-196x20.gif, HTTP/1.1, 400, 0.005385
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/200750_454205417933462_1226098079_n-500x500.jpg, HTTP/1.1, 400, 0.000355
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/label-top-2.gif, HTTP/1.1, 400, 0.000442
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/спонж1.png, HTTP/1.1, 400, 0.000399
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/label-top-4.jpg, HTTP/1.1, 400, 0.000427
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/спонж2.png, HTTP/1.1, 400, 0.000435
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/beforandafter.png, HTTP/1.1, 400, 0.000391
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/Checkmark5.png, HTTP/1.1, 400, 0.000398
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/tv2.jpg, HTTP/1.1, 400, 0.000386
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/XRvjRBnbKbI.html, HTTP/1.1, 400, 0.000392
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/action.png, HTTP/1.1, 400, 0.000468
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/no-1.gif, HTTP/1.1, 400, 0.000404
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/aSH8MuLS4T8.html, HTTP/1.1, 400, 0.000398
127.0.0.1, 2015-09-03 13:54:50, GET, /jupe_app/legacy/Ваш профессиональный визажист в косметичке! Виброспонж для лица_files/yON_nCzZ_NQ.html, HTTP/1.1, 400, 0.000371
